lat,lon,ssh_m,sla_m,adt_m,source,date
22.6875,-82.8125,0.7816,0.1406,0.7816,CMEMS_ALT,2026-08-20
22.6875,-82.6875,0.7536,0.1356,0.7536,CMEMS_ALT,2026-08-20
22.6875,-82.5625,0.776,0.1318,0.776,CMEMS_ALT,2026-08-20
22.6875,-82.4375,0.7741,0.1296,0.7741,CMEMS_ALT,2026-08-20
22.6875,-82.3125,0.7751,0.1299,0.7751,CMEMS_ALT,2026-08-20
22.6875,-82.1875,0.7778,0.1332,0.7778,CMEMS_ALT,2026-08-20
22.6875,-82.0625,0.7814,0.1404,0.7814,CMEMS_ALT,2026-08-20
22.6875,-81.9375,0.789,0.1516,0.789,CMEMS_ALT,2026-08-20
22.6875,-81.8125,0.7963,0.1656,0.7963,CMEMS_ALT,2026-08-20
22.6875,-79.6875,0.8432,0.1799,0.8432,CMEMS_ALT,2026-08-20
22.6875,-79.5625,0.844,0.1743,0.844,CMEMS_ALT,2026-08-20
22.6875,-79.4375,0.8545,0.1739,0.8545,CMEMS_ALT,2026-08-20
22.6875,-79.3125,0.8685,0.1793,0.8685,CMEMS_ALT,2026-08-20
22.6875,-79.1875,0.8838,0.1894,0.8838,CMEMS_ALT,2026-08-20
22.6875,-79.0625,0.9025,0.2012,0.9025,CMEMS_ALT,2026-08-20
22.6875,-78.9375,0.9181,0.2117,0.9181,CMEMS_ALT,2026-08-20
22.6875,-78.8125,0.926,0.2182,0.926,CMEMS_ALT,2026-08-20
22.6875,-78.6875,0.9234,0.219,0.9234,CMEMS_ALT,2026-08-20
22.6875,-78.5625,0.9175,0.214,0.9175,CMEMS_ALT,2026-08-20
22.6875,-78.4375,0.8998,0.2037,0.8998,CMEMS_ALT,2026-08-20
22.6875,-78.3125,0.8829,0.1899,0.8829,CMEMS_ALT,2026-08-20
22.6875,-78.1875,0.8667,0.1751,0.8667,CMEMS_ALT,2026-08-20
22.6875,-78.0625,0.8591,0.162,0.8591,CMEMS_ALT,2026-08-20
22.6875,-77.9375,0.856,0.153,0.856,CMEMS_ALT,2026-08-20
22.6875,-77.8125,0.8515,0.1489,0.8515,CMEMS_ALT,2026-08-20
22.6875,-77.6875,0.8515,0.1491,0.8515,CMEMS_ALT,2026-08-20
22.6875,-77.5625,0.8521,0.1521,0.8521,CMEMS_ALT,2026-08-20
22.6875,-77.4375,0.8527,0.1565,0.8527,CMEMS_ALT,2026-08-20
22.6875,-77.3125,0.8532,0.1612,0.8532,CMEMS_ALT,2026-08-20
22.6875,-77.1875,0.8522,0.1654,0.8522,CMEMS_ALT,2026-08-20
22.6875,-77.0625,0.8525,0.1684,0.8525,CMEMS_ALT,2026-08-20
22.6875,-76.9375,0.8529,0.1699,0.8529,CMEMS_ALT,2026-08-20
22.6875,-76.8125,0.8559,0.17,0.8559,CMEMS_ALT,2026-08-20
22.6875,-76.6875,0.8568,0.1694,0.8568,CMEMS_ALT,2026-08-20
22.6875,-76.5625,0.8604,0.1686,0.8604,CMEMS_ALT,2026-08-20
22.6875,-76.4375,0.8591,0.1681,0.8591,CMEMS_ALT,2026-08-20
22.6875,-76.3125,0.8496,0.1678,0.8496,CMEMS_ALT,2026-08-20
22.6875,-76.1875,0.8474,0.1677,0.8474,CMEMS_ALT,2026-08-20
22.8125,-79.9375,0.861,0.1777,0.861,CMEMS_ALT,2026-08-20
22.8125,-79.8125,0.8174,0.163,0.8174,CMEMS_ALT,2026-08-20
22.8125,-79.6875,0.8015,0.1483,0.8015,CMEMS_ALT,2026-08-20
22.8125,-79.5625,0.7934,0.1384,0.7934,CMEMS_ALT,2026-08-20
22.8125,-79.4375,0.7976,0.1375,0.7976,CMEMS_ALT,2026-08-20
22.8125,-79.3125,0.8148,0.1462,0.8148,CMEMS_ALT,2026-08-20
22.8125,-79.1875,0.8425,0.1613,0.8425,CMEMS_ALT,2026-08-20
22.8125,-79.0625,0.8681,0.1776,0.8681,CMEMS_ALT,2026-08-20
22.8125,-78.9375,0.8852,0.1904,0.8852,CMEMS_ALT,2026-08-20
22.8125,-78.8125,0.8943,0.1974,0.8943,CMEMS_ALT,2026-08-20
22.8125,-78.6875,0.895,0.1982,0.895,CMEMS_ALT,2026-08-20
22.8125,-78.5625,0.89,0.1938,0.89,CMEMS_ALT,2026-08-20
22.8125,-78.4375,0.8779,0.1858,0.8779,CMEMS_ALT,2026-08-20
22.8125,-78.3125,0.8677,0.1762,0.8677,CMEMS_ALT,2026-08-20
22.8125,-78.1875,0.8579,0.1667,0.8579,CMEMS_ALT,2026-08-20
22.8125,-78.0625,0.8526,0.1592,0.8526,CMEMS_ALT,2026-08-20
22.8125,-77.9375,0.85,0.1549,0.85,CMEMS_ALT,2026-08-20
22.8125,-77.8125,0.8514,0.1542,0.8514,CMEMS_ALT,2026-08-20
22.8125,-77.6875,0.8542,0.1568,0.8542,CMEMS_ALT,2026-08-20
22.8125,-77.5625,0.858,0.1618,0.858,CMEMS_ALT,2026-08-20
22.8125,-77.4375,0.8609,0.1677,0.8609,CMEMS_ALT,2026-08-20
22.8125,-77.3125,0.8615,0.1734,0.8615,CMEMS_ALT,2026-08-20
22.8125,-77.1875,0.8601,0.1778,0.8601,CMEMS_ALT,2026-08-20
22.8125,-77.0625,0.861,0.1803,0.861,CMEMS_ALT,2026-08-20
22.8125,-76.9375,0.8613,0.1806,0.8613,CMEMS_ALT,2026-08-20
22.8125,-76.8125,0.8626,0.1792,0.8626,CMEMS_ALT,2026-08-20
22.8125,-76.6875,0.8672,0.1772,0.8672,CMEMS_ALT,2026-08-20
22.8125,-76.5625,0.8675,0.1753,0.8675,CMEMS_ALT,2026-08-20
22.8125,-76.4375,0.8662,0.1742,0.8662,CMEMS_ALT,2026-08-20
22.8125,-76.3125,0.8601,0.1737,0.8601,CMEMS_ALT,2026-08-20
22.8125,-76.1875,0.8542,0.1735,0.8542,CMEMS_ALT,2026-08-20
22.9375,-83.0625,0.7562,0.1469,0.7562,CMEMS_ALT,2026-08-20
22.9375,-82.9375,0.7506,0.1402,0.7506,CMEMS_ALT,2026-08-20
22.9375,-82.8125,0.7448,0.1327,0.7448,CMEMS_ALT,2026-08-20
22.9375,-80.5625,0.8303,0.1864,0.8303,CMEMS_ALT,2026-08-20
22.9375,-80.4375,0.8325,0.1844,0.8325,CMEMS_ALT,2026-08-20
22.9375,-80.3125,0.8329,0.181,0.8329,CMEMS_ALT,2026-08-20
22.9375,-80.1875,0.8302,0.1762,0.8302,CMEMS_ALT,2026-08-20
22.9375,-80.0625,0.8242,0.1689,0.8242,CMEMS_ALT,2026-08-20
22.9375,-79.9375,0.8306,0.1574,0.8306,CMEMS_ALT,2026-08-20
22.9375,-79.8125,0.7963,0.1416,0.7963,CMEMS_ALT,2026-08-20
22.9375,-79.6875,0.7752,0.1253,0.7752,CMEMS_ALT,2026-08-20
22.9375,-79.5625,0.766,0.1152,0.766,CMEMS_ALT,2026-08-20
22.9375,-79.4375,0.7593,0.1165,0.7593,CMEMS_ALT,2026-08-20
22.9375,-79.3125,0.7802,0.129,0.7802,CMEMS_ALT,2026-08-20
22.9375,-79.1875,0.8122,0.1478,0.8122,CMEMS_ALT,2026-08-20
22.9375,-79.0625,0.8464,0.1658,0.8464,CMEMS_ALT,2026-08-20
22.9375,-78.9375,0.8658,0.1782,0.8658,CMEMS_ALT,2026-08-20
22.9375,-78.8125,0.8744,0.1836,0.8744,CMEMS_ALT,2026-08-20
22.9375,-78.6875,0.8742,0.1832,0.8742,CMEMS_ALT,2026-08-20
22.9375,-78.5625,0.8729,0.1793,0.8729,CMEMS_ALT,2026-08-20
22.9375,-78.4375,0.8659,0.1741,0.8659,CMEMS_ALT,2026-08-20
22.9375,-78.3125,0.8573,0.1693,0.8573,CMEMS_ALT,2026-08-20
22.9375,-78.1875,0.8515,0.1659,0.8515,CMEMS_ALT,2026-08-20
22.9375,-78.0625,0.852,0.164,0.852,CMEMS_ALT,2026-08-20
22.9375,-77.9375,0.8505,0.1636,0.8505,CMEMS_ALT,2026-08-20
22.9375,-77.8125,0.8529,0.1647,0.8529,CMEMS_ALT,2026-08-20
22.9375,-77.6875,0.8613,0.1675,0.8613,CMEMS_ALT,2026-08-20
22.9375,-77.5625,0.8677,0.1721,0.8677,CMEMS_ALT,2026-08-20
22.9375,-77.4375,0.8713,0.1777,0.8713,CMEMS_ALT,2026-08-20
22.9375,-77.3125,0.8703,0.1832,0.8703,CMEMS_ALT,2026-08-20
22.9375,-77.1875,0.8704,0.1875,0.8704,CMEMS_ALT,2026-08-20
